title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Revision of Delegations of Authority,Rule,Agriculture Department; Office of the Secretary,"This document revises the delegations of authority from the Secretary of Agriculture and general officers of the Department of Agriculture (USDA) to reflect changes and additions to the delegations required by the Agriculture Improvement Act of 2018 and for other purposes, as summarized below.",85 FR 65500, 2020-20092,https://www.federalregister.gov/documents/2020/10/15/2020-20092/revision-of-delegations-of-authority,https://www.govinfo.gov/content/pkg/FR-2020-10-15/pdf/2020-20092.pdf,10/15/2020
"Matching Funds Requirements for Agricultural Research and Extension Capacity Funds at 1890 Land-Grant Institutions, Including Central State University, Tuskegee University, and West Virginia State University, and at 1862 Land-Grant Institutions in Insular Areas",Rule,Agriculture Department; National Institute of Food and Agriculture,"This final rule amends National Institute of Food and Agriculture (NIFA) regulations for the purpose of implementing the statutory amendments applicable to the National Institute of Food and Agriculture's (NIFA) matching requirements for Federal agricultural research and extension capacity (formula) funds for 1890 land-grant institutions (LGUs), including Central State University, Tuskegee University, and West Virginia State University, and 1862 land-grant institutions in insular areas, and to remove the term ""qualifying educational activities."" These matching requirements were amended by the Farm Security and Rural Investment Act; the Food, Conservation, and Energy Act of 2008; and the Agricultural Act of 2014.",83 FR 21846, 2018-10015,https://www.federalregister.gov/documents/2018/05/11/2018-10015/matching-funds-requirements-for-agricultural-research-and-extension-capacity-funds-at-1890,https://www.govinfo.gov/content/pkg/FR-2018-05-11/pdf/2018-10015.pdf,05/11/2018
Notice of Funds Availability; 2021 Emergency Livestock Relief Program (ELRP) Phase 2,Notice,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this notice announcing ELRP Phase 2. This document provides the eligibility requirements and payment calculation for the second phase of ELRP assistance. ELRP Phase 2 will provide assistance to eligible livestock producers for the loss of the value of winter forage from the deterioration of grazing cover due to a qualifying drought or wildfire during the 2021 normal grazing period, which has been exacerbated by a continued lack of precipitation. This document also makes a correction and amendment to ELRP Phase 1.",88 FR 66366, 2023-21088,https://www.federalregister.gov/documents/2023/09/27/2023-21088/notice-of-funds-availability-2021-emergency-livestock-relief-program-elrp-phase-2,https://www.govinfo.gov/content/pkg/FR-2023-09-27/pdf/2023-21088.pdf,09/27/2023
Notice of Funds Availability; Emergency Livestock Relief Program (ELRP),Notice,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this notice announcing the new Emergency Livestock Relief Program (ELRP). This document provides the eligibility requirements and payment calculation for the first phase of ELRP assistance, which will provide payments to producers who faced increased supplemental feed costs as a result of forage losses due to a qualifying drought or wildfire in calendar year 2021 using data already submitted to FSA through the Livestock Forage Disaster Program (LFP).",87 FR 19465, 2022-06950,https://www.federalregister.gov/documents/2022/04/04/2022-06950/notice-of-funds-availability-emergency-livestock-relief-program-elrp,https://www.govinfo.gov/content/pkg/FR-2022-04-04/pdf/2022-06950.pdf,04/04/2022
"Changes to Agriculture Risk Coverage, Price Loss Coverage, and Dairy Margin Coverage Programs",Rule,Agriculture Department; Farm Service Agency; Commodity Credit Corporation,"This rule revises the provisions of the Agriculture Risk Coverage (ARC), Price Loss Coverage (PLC), and Dairy Margin Coverage (DMC) programs to conform with provisions of the One Big Beautiful Bill Act (OBBBA). OBBBA authorized modifications to the 2025 crop year ARC and PLC programs and the continuation of the ARC and PLC programs for the 2026 through 2031 crop years. The modified provisions are related to the reference prices, the effective reference prices, base acres, program elections, and payment provisions. OBBBA also authorized DMC for calendar years 2026 through 2031, providing participating dairy operations with the ability to establish a new production history. In addition, the Tier 1 coverage level was increased by 1 million pounds of milk to a 6-million-pound limit and eligibility for multi-year (lock-in) contracts was maintained until December 30, 2031. The Farm Service Agency (FSA) is also making minor administrative changes and updates to the ARC, PLC, and DMC regulations and the regulations that apply to multiple FSA programs.",91 FR 1043, 2026-00313,https://www.federalregister.gov/documents/2026/01/12/2026-00313/changes-to-agriculture-risk-coverage-price-loss-coverage-and-dairy-margin-coverage-programs,https://www.govinfo.gov/content/pkg/FR-2026-01-12/pdf/2026-00313.pdf,01/12/2026
"Notice of Intent To Prepare an Environmental Impact Statement for the West Fork Battle Creek Watershed Plan, Carbon County, Wyoming",Notice,Agriculture Department; Natural Resources Conservation Service,"The Natural Resources Conservation Service (NRCS) Wyoming State Office, in coordination with the USDA Forest Service and the U.S. Army Corps of Engineers (USACE), announces its intent to prepare an EIS for the West Fork Battle Creek Watershed Plan in the proximity of Savery-Little Snake River in Wyoming. The proposed Watershed Plan includes construction of a dam and reservoir on the West Fork of Battle Creek to provide for rural agricultural water management. NRCS is requesting comments to identify significant issues, potential alternatives, information, and analyses relevant to the Proposed Action from all interested individuals, Federal and State Agencies, and Tribes.",87 FR 79850, 2022-28245,https://www.federalregister.gov/documents/2022/12/28/2022-28245/notice-of-intent-to-prepare-an-environmental-impact-statement-for-the-west-fork-battle-creek,https://www.govinfo.gov/content/pkg/FR-2022-12-28/pdf/2022-28245.pdf,12/28/2022
"Region 5 and Region 6; California, Oregon, and Washington; Forest Plan Amendment for Planning and Management of Northwest Forests Within the Range of the Northern Spotted Owl",Notice,Agriculture Department; Forest Service,"The Pacific Northwest and Pacific Southwest Regions of the Forest Service, USDA, are proposing to amend the 1994 Northwest Forest Plan (NWFP). The amendment would apply to those Forest Service units, or parts thereof, with land management plans amended in 1994 by the NWFP or with land management plans developed later to include provisions of the NWFP. Units in the Pacific Northwest Region (Region 6) include: Deschutes National Forest, Fremont-Winema National Forest, Gifford Pinchot National Forest, Mt. Baker-Snoqualmie National Forest, Mt. Hood National Forest, Okanogan-Wenatchee National Forest, Olympic National Forest, Rogue River-Siskiyou National Forest, Siuslaw National Forest, Umpqua National Forest, and Willamette National Forest. Units in the Pacific Southwest Region (Region 5) include: Klamath National Forest and Butte Valley National Grassland, Lassen National Forest, Mendocino National Forest, Modoc National Forest, Six Rivers National Forest, and Shasta-Trinity National Forest. This notice initiates a scoping period on a preliminary proposed action and advises the public that the Forest Service is preparing an Environmental Impact Statement (EIS) to evaluate the effects of amending the Northwest Forest Plan.",88 FR 87393, 2023-27742,https://www.federalregister.gov/documents/2023/12/18/2023-27742/region-5-and-region-6-california-oregon-and-washington-forest-plan-amendment-for-planning-and,https://www.govinfo.gov/content/pkg/FR-2023-12-18/pdf/2023-27742.pdf,12/18/2023
Announcement of Grant Application Deadlines and Funding Levels,Notice,Agriculture Department; Rural Utilities Service,"The Rural Utilities Service (RUS) announces its Household Water Well System (HWWS) Grant Program funds availability and solicitation of applications application window for fiscal year (FY) 2018. RUS will make available $993,000 in grant funds to qualified private non-profit organizations to establish lending programs for homeowners to borrow up to $11,000 to construct or repair household water wells for an existing home. The HWWS Grant Program is authorized under 7 U.S.C. 1926e. Regulations may be found at 7 CFR part 1776. The Agency encourages applications that will support recommendations made in the Rural Prosperity Task Force report to help improve life in rural America which can be found at www.usda.gov/ruralprosperity. Applicants are encouraged to consider projects that provide measurable results in helping rural communities build robust and sustainable economies through strategic investments in infrastructure, partnerships and innovation. Key strategies include:",83 FR 28610, 2018-13237,https://www.federalregister.gov/documents/2018/06/20/2018-13237/announcement-of-grant-application-deadlines-and-funding-levels,https://www.govinfo.gov/content/pkg/FR-2018-06-20/pdf/2018-13237.pdf,06/20/2018
Notice of Funds Availability; Emergency Relief Program (ERP),Notice,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this notice announcing ERP. ERP will provide assistance to producers for losses to crops, trees, bushes, and vines due to wildfires, hurricanes, floods, derechos, excessive heat, winter storms, freeze (including a polar vortex), smoke exposure, excessive moisture, qualifying drought, and related conditions occurring in calendar years 2020 and 2021. ERP assistance will be provided in two phases. This document provides the eligibility requirements, application process, and payment calculations for ERP Phase 1, which will provide payments for crop production losses and tree, bush, and vine losses calculated using certain data from previously issued crop insurance indemnities and Noninsured Crop Disaster Assistance Program (NAP) payments.",87 FR 30164, 2022-10628,https://www.federalregister.gov/documents/2022/05/18/2022-10628/notice-of-funds-availability-emergency-relief-program-erp,https://www.govinfo.gov/content/pkg/FR-2022-05-18/pdf/2022-10628.pdf,05/18/2022
Notice of Funds Availability; Emergency Relief Program 2022 (ERP 2022),Notice,Agriculture Department; Farm Service Agency,"The Farm Service Agency (FSA) is issuing this notice announcing ERP 2022, which will provide payments to eligible crop producers for losses due to qualifying disaster events including wildfires, hurricanes, floods, derechos, excessive heat, tornadoes, winter storms, freeze (including a polar vortex), smoke exposure, excessive moisture, qualifying drought, and related conditions that occurred in calendar year 2022. ERP 2022 will be administered through 2 tracks (referred to as Track 1 and Track 2). Track 1 will assist eligible crop producers who received indemnities for eligible crop or tree losses through certain Federal crop insurance policies or payments for crop losses through the Noninsured Crop Disaster Assistance Program (NAP). Track 2 will assist eligible crop producers for other eligible crop and tree losses through a revenue-based approach.",88 FR 74404, 2023-24009,https://www.federalregister.gov/documents/2023/10/31/2023-24009/notice-of-funds-availability-emergency-relief-program-2022-erp-2022,https://www.govinfo.gov/content/pkg/FR-2023-10-31/pdf/2023-24009.pdf,10/31/2023
