title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
Notice of Funding Availability for Credit Assistance Under WIFIA Program,Notice,Environmental Protection Agency,"In the Further Consolidated Appropriations Act, 2022, signed by the President on March 15, 2022, Congress provided $58.5 million in budget authority for the Water Infrastructure Finance and Innovation Act of 2014 (WIFIA) program to cover the subsidy required to provide a much larger amount of credit assistance. The U.S. Environmental Protection Agency (EPA) estimates that this budget authority may provide approximately $5.5 billion in credit assistance and may finance approximately $11 billion in water infrastructure investment. The purpose of this notice of funding availability (NOFA) is to solicit letters of interest (LOIs) from prospective borrowers seeking credit assistance from EPA under the WIFIA program.",87 FR 36489, 2022-12987,https://www.federalregister.gov/documents/2022/06/17/2022-12987/notice-of-funding-availability-for-credit-assistance-under-wifia-program,https://www.govinfo.gov/content/pkg/FR-2022-06-17/pdf/2022-12987.pdf,06/17/2022
Carbon Pollution Emission Guidelines for Existing Stationary Sources: Electric Utility Generating Units,Rule,Environmental Protection Agency,"In this action, the Environmental Protection Agency (EPA) is establishing final emission guidelines for states to follow in developing plans to reduce greenhouse gas (GHG) emissions from existing fossil fuel-fired electric generating units (EGUs). Specifically, the EPA is establishing: Carbon dioxide (CO<INF>2</INF>) emission performance rates representing the best system of emission reduction (BSER) for two subcategories of existing fossil fuel-fired EGUs--fossil fuel-fired electric utility steam generating units and stationary combustion turbines; state-specific CO<INF>2</INF> goals reflecting the CO<INF>2</INF> emission performance rates; and guidelines for the development, submittal and implementation of state plans that establish emission standards or other measures to implement the CO<INF>2</INF> emission performance rates, which may be accomplished by meeting the state goals. This final rule will continue progress already underway in the U.S. to reduce CO<INF>2</INF> emissions from the utility power sector.",80 FR 64662, 2015-22842,https://www.federalregister.gov/documents/2015/10/23/2015-22842/carbon-pollution-emission-guidelines-for-existing-stationary-sources-electric-utility-generating,https://www.govinfo.gov/content/pkg/FR-2015-10-23/pdf/2015-22842.pdf,10/23/2015
Notification of Funding for Credit Assistance Under the Water Infrastructure Finance and Innovation Act (WIFIA) Program,Rule,Environmental Protection Agency,"In the Further Consolidated Appropriations Act, 2021, signed by the President on December 27, 2020, Congress provided $54.5 million in budget authority for the Water Infrastructure Finance and Innovation Act of 2014 (WIFIA) program to cover the subsidy required to provide a much larger amount of credit assistance. The Environmental Protection Agency (EPA or Agency) estimates that this budget authority may provide approximately $5.5 billion in credit assistance and may finance approximately $11 billion in water infrastructure investment. The purpose of this NOFA is to solicit letters of interest (LOIs) from prospective borrowers seeking credit assistance from EPA. EPA will evaluate and select proposed projects described in the LOIs using the selection criteria established in statute and regulation, and further described in this NOFA as well as the WIFIA program handbook. This NOFA establishes relative weights that will be used in the current LOI submittal period for the selection criteria, explains budgetary scoring factors to determine budgetary scoring compliance, and outlines the process that prospective borrowers should follow to be considered for WIFIA credit assistance. In addition, EPA reserves the right to make additional awards using FY 2021 appropriated funding or available carry-over resources, consistent with Agency policy and guidance, if additional funding is available after the original selections are made. This could include holding a subsequent selection round.",86 FR 22612, 2021-08867,https://www.federalregister.gov/documents/2021/04/29/2021-08867/notification-of-funding-for-credit-assistance-under-the-water-infrastructure-finance-and-innovation,https://www.govinfo.gov/content/pkg/FR-2021-04-29/pdf/2021-08867.pdf,04/29/2021
"Standards of Performance for Greenhouse Gas Emissions From New, Modified, and Reconstructed Stationary Sources: Electric Utility Generating Units",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing new source performance standards (NSPS) under Clean Air Act (CAA) section 111(b) that, for the first time, will establish standards for emissions of carbon dioxide (CO<INF>2</INF>) for newly constructed, modified, and reconstructed affected fossil fuel-fired electric utility generating units (EGUs). This action establishes separate standards of performance for fossil fuel-fired electric utility steam generating units and fossil fuel-fired stationary combustion turbines. This action also addresses related permitting and reporting issues. In a separate action, under CAA section 111(d), the EPA is issuing final emission guidelines for states to use in developing plans to limit CO<INF>2</INF> emissions from existing fossil fuel-fired EGUs.",80 FR 64510, 2015-22837,https://www.federalregister.gov/documents/2015/10/23/2015-22837/standards-of-performance-for-greenhouse-gas-emissions-from-new-modified-and-reconstructed-stationary,https://www.govinfo.gov/content/pkg/FR-2015-10-23/pdf/2015-22837.pdf,10/23/2015
Protection of Stratospheric Ozone: Listing of Substitutes for Ozone-Depleting Substances-Fire Suppression and Explosion Protection,Rule,Environmental Protection Agency,"EPA is taking direct final action to list substitutes for ozone-depleting substances (ODSs) in the fire suppression and explosion protection sector as acceptable subject to use restrictions under the EPA's Significant New Alternatives Policy program. This program implements Section 612 of the Clean Air Act, as amended in 1990, which requires EPA to evaluate substitutes for ozone-depleting substances and find them acceptable where they pose comparable or lower overall risk to human health and the environment than other available substitutes.",77 FR 58035, 2012-23138,https://www.federalregister.gov/documents/2012/09/19/2012-23138/protection-of-stratospheric-ozone-listing-of-substitutes-for-ozone-depleting-substances-fire,https://www.govinfo.gov/content/pkg/FR-2012-09-19/pdf/2012-23138.pdf,09/19/2012
"New Source Performance Standards for Greenhouse Gas Emissions From New, Modified, and Reconstructed Fossil Fuel-Fired Electric Generating Units; Emission Guidelines for Greenhouse Gas Emissions From Existing Fossil Fuel-Fired Electric Generating Units; and Repeal of the Affordable Clean Energy Rule",Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing multiple actions under section 111 of the Clean Air Act (CAA) addressing greenhouse gas (GHG) emissions from fossil fuel-fired electric generating units (EGUs). First, the EPA is finalizing the repeal of the Affordable Clean Energy (ACE) Rule. Second, the EPA is finalizing emission guidelines for GHG emissions from existing fossil fuel-fired steam generating EGUs, which include both coal-fired and oil/gas-fired steam generating EGUs. Third, the EPA is finalizing revisions to the New Source Performance Standards (NSPS) for GHG emissions from new and reconstructed fossil fuel-fired stationary combustion turbine EGUs. Fourth, the EPA is finalizing revisions to the NSPS for GHG emissions from fossil fuel-fired steam generating units that undertake a large modification, based upon the 8-year review required by the CAA. The EPA is not finalizing emission guidelines for GHG emissions from existing fossil fuel-fired stationary combustion turbines at this time; instead, the EPA intends to take further action on the proposed emission guidelines at a later date.",89 FR 39798, 2024-09233,https://www.federalregister.gov/documents/2024/05/09/2024-09233/new-source-performance-standards-for-greenhouse-gas-emissions-from-new-modified-and-reconstructed,https://www.govinfo.gov/content/pkg/FR-2024-05-09/pdf/2024-09233.pdf,05/09/2024
National Emission Standards for Hazardous Air Pollutants: Generic Maximum Achievable Control Technology Standards Residual Risk and Technology Review for Ethylene Production,Rule,Environmental Protection Agency,"This action finalizes the residual risk and technology review (RTR) conducted for the Ethylene Production source category regulated under National Emission Standards for Hazardous Air Pollutants (NESHAP). In addition, the U.S. Environmental Protection Agency (EPA) is taking final action to correct and clarify regulatory provisions related to emissions during periods of startup, shutdown, and malfunction (SSM), including removing general exemptions for periods of SSM, adding work practice standards for periods of SSM where appropriate, and clarifying regulatory provisions for certain vent control bypasses. The EPA is also taking final action to revise requirements for heat exchange systems; add monitoring and operational requirements for flares; add provisions for electronic reporting of performance test results and other reports; and include other technical corrections to improve consistency and clarity. We estimate that these final amendments will reduce hazardous air pollutants (HAP) emissions from this source category by 29 tons per year (tpy) and reduce excess emissions of HAP from flares by an additional 1,430 tpy.",85 FR 40386, 2020-05898,https://www.federalregister.gov/documents/2020/07/06/2020-05898/national-emission-standards-for-hazardous-air-pollutants-generic-maximum-achievable-control,https://www.govinfo.gov/content/pkg/FR-2020-07-06/pdf/2020-05898.pdf,07/06/2020
Phasedown of Hydrofluorocarbons: Restrictions on the Use of Certain Hydrofluorocarbons Under the American Innovation and Manufacturing Act of 2020,Rule,Environmental Protection Agency,"The U.S. Environmental Protection Agency is issuing regulations to implement certain provisions of the American Innovation and Manufacturing Act, as enacted on December 27, 2020. This rulemaking restricts the use of hydrofluorocarbons in specific sectors or subsectors in which they are used; establishes a process for submitting technology transitions petitions; establishes recordkeeping and reporting requirements; and addresses certain other elements related to the effective implementation of the American Innovation and Manufacturing Act. These restrictions on the use of hydrofluorocarbons address petitions granted on October 7, 2021, and September 19, 2022.",88 FR 73098, 2023-22529,https://www.federalregister.gov/documents/2023/10/24/2023-22529/phasedown-of-hydrofluorocarbons-restrictions-on-the-use-of-certain-hydrofluorocarbons-under-the,https://www.govinfo.gov/content/pkg/FR-2023-10-24/pdf/2023-22529.pdf,10/24/2023
Revised Definition of â€œWaters of the United Statesâ€?Rule,Rule,Defense Department; Engineers Corps; Environmental Protection Agency,"The Environmental Protection Agency (EPA) and the Department of the Army (""the agencies"") are finalizing a rule defining the scope of waters protected under the Clean Water Act. In developing this rule, the agencies considered the text of the relevant provisions of the Clean Water Act and the statute as a whole, the scientific record, relevant Supreme Court case law, and the agencies' experience and technical expertise after more than 45 years of implementing the longstanding pre-2015 regulations defining ""waters of the United States."" This final rule advances the objective of the Clean Water Act and ensures critical protections for the nation's vital water resources, which support public health, environmental protection, agricultural activity, and economic growth across the United States.",88 FR 3004, 2022-28595,https://www.federalregister.gov/documents/2023/01/18/2022-28595/revised-definition-of-waters-of-the-united-states,https://www.govinfo.gov/content/pkg/FR-2023-01-18/pdf/2022-28595.pdf,01/18/2023
Phasedown of Hydrofluorocarbons: Allowance Allocation Methodology for 2024 and Later Years,Rule,Environmental Protection Agency,"The U.S. Environmental Protection Agency (EPA) is amending existing regulations to implement certain provisions of the American Innovation and Manufacturing Act. This rule establishes the methodology for allocating hydrofluorocarbon production and consumption allowances for the calendar years of 2024 through 2028. EPA is also amending the consumption baseline to reflect updated data and to make other adjustments based on lessons learned from implementation of the hydrofluorocarbon phasedown program thus far, including to: codify the existing approach of how allowances must be expended for import of regulated substances, revise recordkeeping and reporting requirements, and implement other modifications to the existing regulations.",88 FR 46836, 2023-14312,https://www.federalregister.gov/documents/2023/07/20/2023-14312/phasedown-of-hydrofluorocarbons-allowance-allocation-methodology-for-2024-and-later-years,https://www.govinfo.gov/content/pkg/FR-2023-07-20/pdf/2023-14312.pdf,07/20/2023
Alternate PCB Extraction Methods and Amendments to PCB Cleanup and Disposal Regulations,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA or the Agency) is finalizing an expanded set of extraction and determinative methods that can be used to characterize and verify the cleanup of polychlorinated biphenyls (PCBs) waste under implementing regulations for PCB-related authority in the Federal Toxic Substances Control Act (TSCA) (also referred to as the PCB regulations). These changes are expected to greatly reduce the amount of solvent used in PCB extraction processes, thereby conserving resources and reducing waste. In addition, the changes are expected to result in quicker, more efficient, and less costly cleanups, due to greater flexibility in the cleanup and disposal of PCB waste, while still being equally protective of human health and the environment. EPA is also finalizing several other amendments to the PCB regulations, including the amendment of the performance-based disposal option for PCB remediation waste; the removal of the provision allowing PCB bulk product waste to be disposed of as roadbed material; the addition of more flexible provisions for cleanup and disposal of waste generated by spills that occur during emergency situations (e.g., hurricanes or floods); harmonization of the general disposal requirements for PCB remediation waste; and other amendments to improve the implementation of the regulations, clarify ambiguity, and correct technical errors.",88 FR 59662, 2023-17708,https://www.federalregister.gov/documents/2023/08/29/2023-17708/alternate-pcb-extraction-methods-and-amendments-to-pcb-cleanup-and-disposal-regulations,https://www.govinfo.gov/content/pkg/FR-2023-08-29/pdf/2023-17708.pdf,08/29/2023
"Oil and Natural Gas Sector: Emission Standards for New, Reconstructed, and Modified Sources",Rule,Environmental Protection Agency,"This action finalizes amendments to the current new source performance standards (NSPS) and establishes new standards. Amendments to the current standards will improve implementation of the current NSPS. The new standards for the oil and natural gas source category set standards for both greenhouse gases (GHGs) and volatile organic compounds (VOC). Except for the implementation improvements, and the new standards for GHGs, these requirements do not change the requirements for operations covered by the current standards.",81 FR 35824, 2016-11971,https://www.federalregister.gov/documents/2016/06/03/2016-11971/oil-and-natural-gas-sector-emission-standards-for-new-reconstructed-and-modified-sources,https://www.govinfo.gov/content/pkg/FR-2016-06-03/pdf/2016-11971.pdf,06/03/2016
Finding of Failure To Attain and Reclassification of Las Vegas Area as Moderate for the 2015 Ozone National Ambient Air Quality Standard,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA or Agency) is determining that the Las Vegas, Nevada nonattainment area (""Las Vegas"") failed to attain the 2015 ozone National Ambient Air Quality Standard (NAAQS) by the applicable attainment date. The effect of failing to attain by the applicable attainment date is that Las Vegas is being reclassified by operation of law as ""Moderate"" nonattainment for the 2015 ozone NAAQS on January 5, 2023, the effective date of this final rule. Accordingly, the Nevada Division of Environmental Protection (NDEP) must submit State Implementation Plan (SIP) revisions and implement controls to satisfy the statutory and regulatory requirements for Moderate areas for the 2015 ozone NAAQS according to the deadlines established in this final rule.",88 FR 775, 2022-28319,https://www.federalregister.gov/documents/2023/01/05/2022-28319/finding-of-failure-to-attain-and-reclassification-of-las-vegas-area-as-moderate-for-the-2015-ozone,https://www.govinfo.gov/content/pkg/FR-2023-01-05/pdf/2022-28319.pdf,01/05/2023
Phasedown of Hydrofluorocarbons: Establishing the Allowance Allocation and Trading Program Under the American Innovation and Manufacturing Act,Rule,Environmental Protection Agency,"The Environmental Protection Agency is issuing regulations to implement certain provisions of the American Innovation and Manufacturing Act, as enacted on December 27, 2020. This Act mandates the phasedown of hydrofluorocarbons, which are highly potent greenhouse gases, by 85 percent over a period ending in 2036. The Act directs the Environmental Protection Agency to implement the phasedown by issuing a fixed quantity of transferrable production and consumption allowances, which producers and importers of hydrofluorocarbons must hold in quantities equal to the amount of hydrofluorocarbons they produce or import. To establish the allowance allocation program, this rulemaking determines the hydrofluorocarbon production and consumption baselines, from which allowed production and consumption will decrease consistent with the statutory phasedown schedule; provides an initial approach to allocating calendar-year allowances and allowing for the transfer of those allowances; establishes provisions for the international transfer of allowances; and establishes recordkeeping and reporting requirements. Additionally, it establishes provisions to support implementation, compliance with, and enforcement of, statutory and regulatory requirements under the Act's phasedown provisions. Over the time period from 2022-2050, this rulemaking will avoid cumulative emissions of 4,560 million metric tons of exchange value equivalent of HFCs in the United States with a present value of cumulative net benefits of $272.7 billion.",86 FR 55116, 2021-21030,https://www.federalregister.gov/documents/2021/10/05/2021-21030/phasedown-of-hydrofluorocarbons-establishing-the-allowance-allocation-and-trading-program-under-the,https://www.govinfo.gov/content/pkg/FR-2021-10-05/pdf/2021-21030.pdf,10/05/2021
New Source Performance Standards Review for Steel Plants: Electric Arc Furnaces and Argon-Oxygen Decarburization Vessels,Rule,Environmental Protection Agency,The Environmental Protection Agency (EPA) is finalizing amendments to the new source performance standards (NSPS) for electric arc furnaces (EAF) and argon-oxygen decarburization (AOD) vessels in the steel industry pursuant to the review required by the Clean Air Act.,88 FR 58442, 2023-16747,https://www.federalregister.gov/documents/2023/08/25/2023-16747/new-source-performance-standards-review-for-steel-plants-electric-arc-furnaces-and-argon-oxygen,https://www.govinfo.gov/content/pkg/FR-2023-08-25/pdf/2023-16747.pdf,08/25/2023
New Source Performance Standards Review for Industrial Surface Coating of Plastic Parts for Business Machines,Rule,Environmental Protection Agency,"The Environmental Protection Agency (EPA) is finalizing amendments to the new source performance standards for Industrial Surface Coating of Plastic Parts for Business Machines pursuant to the review required by the Clean Air Act. For affected facilities that commence construction, modification, or reconstruction after June 21, 2022, the EPA is, in a new subpart, finalizing volatile organic compound (VOC) emission limitations for prime, color, texture, and touch-up coating operations. We are also finalizing a requirement for electronic submission of periodic compliance reports.",88 FR 18056, 2023-04966,https://www.federalregister.gov/documents/2023/03/27/2023-04966/new-source-performance-standards-review-for-industrial-surface-coating-of-plastic-parts-for-business,https://www.govinfo.gov/content/pkg/FR-2023-03-27/pdf/2023-04966.pdf,03/27/2023
National Emission Standards for Hazardous Air Pollutants: Miscellaneous Organic Chemical Manufacturing Residual Risk and Technology Review,Rule,Environmental Protection Agency,"This action finalizes the residual risk and technology review (RTR) conducted for the Miscellaneous Organic Chemical Manufacturing source category regulated under national emission standards for hazardous air pollutants (NESHAP). The U.S. Environmental Protection Agency (EPA) is finalizing decisions concerning the RTR, including amendments pursuant to the technology review for equipment leaks and heat exchange systems, and also amendments pursuant to the risk review to specifically address ethylene oxide emissions from storage tanks, process vents, and equipment leaks. In addition, we are taking final action to correct and clarify regulatory provisions related to emissions during periods of startup, shutdown, and malfunction (SSM), including removing general exemptions for periods of SSM, adding work practice standards for periods of SSM where appropriate, and clarifying regulatory provisions for certain vent control bypasses. The EPA is also taking final action to add monitoring and operational requirements for flares that control ethylene oxide emissions and flares used to control emissions from processes that produce olefins and polyolefins; add provisions for electronic reporting of performance test results and other reports; and include other technical corrections to improve consistency and clarity. We estimate that these final amendments will reduce hazardous air pollutants (HAP) emissions from this source category by approximately 107 tons per year (tpy) and reduce ethylene oxide emissions from this source category by approximately 0.76 tpy. We also estimate that these final amendments will reduce excess emissions of HAP from flares that control ethylene oxide emissions and flares used to control emissions from processes that produce olefins and polyolefins by an additional 263 tpy.",85 FR 49084, 2020-12776,https://www.federalregister.gov/documents/2020/08/12/2020-12776/national-emission-standards-for-hazardous-air-pollutants-miscellaneous-organic-chemical,https://www.govinfo.gov/content/pkg/FR-2020-08-12/pdf/2020-12776.pdf,08/12/2020
