title,type,agency_names,abstract,citation,document_number,html_url,pdf_url,publication_date
"Request for Information Regarding Iron, Steel, Construction Materials, and Manufactured Products Used in Housing Programs Pursuant to the Build America, Buy America Act",Notice,Housing and Urban Development Department,"This Request for Information (RFI) seeks public input on the implementation of the Build America, Buy America Act (BABA or the Act) as it applies to HUD's Federal Financial Assistance (FFA) provided in support of the construction, alteration, maintenance, and repair of housing infrastructure projects in the United States. The purpose of this RFI is to improve HUD's understanding of the current state of the domestic market for products required in housing infrastructure projects. HUD is especially interested in comments detailing domestic materials sourcing, market readiness, other product supply considerations, and whether specific housing products or their components are manufactured in the United States.",89 FR 10090, 2024-02900,https://www.federalregister.gov/documents/2024/02/13/2024-02900/request-for-information-regarding-iron-steel-construction-materials-and-manufactured-products-used,https://www.govinfo.gov/content/pkg/FR-2024-02-13/pdf/2024-02900.pdf,02/13/2024
Final Determination: Adoption of Energy Efficiency Standards for New Construction of HUD- and USDA-Financed Housing,Notice,Housing and Urban Development Department; Agriculture Department,"The Energy Independence and Security Act of 2007 (EISA) establishes procedures for the U.S. Department of Housing and Urban Development (HUD) and the U.S. Department of Agriculture (USDA) to consider adopting periodic revisions to the International Energy Conservation Code (IECC) and to ANSI/ASHRAE/IES Standard 90.1: Energy Standard for Buildings, Except Low-Rise Residential Buildings (ASHRAE 90.1), subject to a determination by the agencies that the revised codes do not negatively affect the availability or affordability of new construction of single and multifamily housing covered by EISA, and a determination by the Secretary of Energy that the revised codes ""would improve energy efficiency."" At the time of developing the preliminary determination, the most recent editions of the codes for which DOE had issued efficiency determinations were ASHRAE 90.1-2019, and the 2021 IECC. This notice follows the notice of preliminary determination published on May 18, 2023, and announces the final determination of HUD and USDA as required under section 481(d)(1) of EISA. After consideration of public comments, HUD and USDA determine that the 2021 IECC and ASHRAE 90.1-2019 will not negatively affect the affordability and availability of housing covered by EISA.",89 FR 33112, 2024-08793,https://www.federalregister.gov/documents/2024/04/26/2024-08793/final-determination-adoption-of-energy-efficiency-standards-for-new-construction-of-hud--and,https://www.govinfo.gov/content/pkg/FR-2024-04-26/pdf/2024-08793.pdf,04/26/2024
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"On March 22, 2022, HUD allocated nearly $3 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2022 for major disasters occurring in 2020 and 2021. This Allocation Announcement Notice identifies grant requirements for these funds, including requirements in HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") (Appendix B), and some amendments to the Consolidated Notice that apply to CDBG-DR grants for disasters occurring in 2020 and 2021, as identified herein. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities. This notice also includes a modification to the February 3, 2022 notice (87 FR 6364) that announced CDBG-DR grants for disasters occurring in 2020.",87 FR 31636, 2022-10969,https://www.federalregister.gov/documents/2022/05/24/2022-10969/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2022-05-24/pdf/2022-10969.pdf,05/24/2022
Allocations for Community Development Block Grant Disaster Recovery and Implementation of the CDBG-DR Consolidated Waivers and Alternative Requirements Notice,Notice,Housing and Urban Development Department,"On October 29, 2021, HUD allocated over $2 billion in Community Development Block Grant Disaster Recovery (CDBG-DR) funds appropriated by the Disaster Relief Supplemental Appropriations Act, 2022. This Allocation Announcement Notice imposes HUD's CDBG-DR Consolidated Notice (""Consolidated Notice"") (Appendix B) and any amendments to the Consolidated Notice only on CDBG-DR grants for disasters occurring in 2020, as identified herein. The Consolidated Notice, as amended by this Allocation Announcement Notice, includes waivers and alternative requirements, relevant regulatory requirements, the grant award process, criteria for action plan approval, and eligible disaster recovery activities.",87 FR 6364, 2022-02209,https://www.federalregister.gov/documents/2022/02/03/2022-02209/allocations-for-community-development-block-grant-disaster-recovery-and-implementation-of-the,https://www.govinfo.gov/content/pkg/FR-2022-02-03/pdf/2022-02209.pdf,02/03/2022
Announcement of Funding Awards,Notice,Housing and Urban Development Department,"In accordance with the Department of Housing and Urban Development Reform Act of 1989, this announcement notifies the public of funding decisions made by the Department in competitions for funding under the Notice of Funding Opportunity (NOFO) for the following programs: FY2018 and FY2019 HUD Community Compass Technical Assistance and Capacity Building Program, FY2020 HOPWA Permanent Supportive Housing, FY2019 Family-Self Sufficiency-Renewal (FSS), FY2019 Resident Opportunity & Self Sufficiency Service Coordinator (ROSS-SC) Grant Program, FY2019 Jobs Plus Initiative, FY2019 and FY2020 Community Development Block Grant Program for Indian Tribes and Alaska Native Villages (ICDBG), FY2019 Choice Neighborhoods Implementation Grants, FY2019/2020 Housing Counseling Training Grant, FY2020 Supplemental Comprehensive Housing Counseling Grant Program, FY2020 Lead Hazard Reduction Grant Program, FY2020 Lead and Healthy Homes Technical Studies Grants Program Pre and Full Application, FY2020 Healthy Homes Production Grant Program for Tribal Housing, FY2019/2020 Cooperative Research in Housing Technologies FY2019/2020 Examining Long Term Outcomes Following Exit from HUD-Assisted Housing, FY2019/2020 Estimating the Prevalence and Probability of Homeless Youth, and FY2019/2020 Impact of Rental Assistance Demonstration (RAD) on Children in HUD Assisted Households.",86 FR 16605, 2021-06459,https://www.federalregister.gov/documents/2021/03/30/2021-06459/announcement-of-funding-awards,https://www.govinfo.gov/content/pkg/FR-2021-03-30/pdf/2021-06459.pdf,03/30/2021
Notice of Expansion and Proposed Restructuring of the Digital Opportunity Demonstration Program,Notice,Housing and Urban Development Department,"The U.S. Department of Housing and Urban Development (HUD) is committed to advancing digital opportunities in HUD-assisted communities by expanding its ConnectHomeUSA initiative to between 50 and 100 new communities. HUD's ConnectHome pilot program was launched in 2015 to address the ""homework gap"" for students in grades K-12 living in public and Indian housing. HUD partnered with interested public housing authorities and tribes to join forces with their city and tribal leadership to close this gap in twenty-eight HUD-assisted communities. Through this notice, HUD solicits comment on the expansion and restructuring of its demonstration program (ConnectHomeUSA) that is designed to further the collaborative efforts by government, industry, and nonprofit organizations to accelerate broadband internet adoption and use in HUD-assisted homes.",88 FR 71586, 2023-22800,https://www.federalregister.gov/documents/2023/10/17/2023-22800/notice-of-expansion-and-proposed-restructuring-of-the-digital-opportunity-demonstration-program,https://www.govinfo.gov/content/pkg/FR-2023-10-17/pdf/2023-22800.pdf,10/17/2023
"Allocations, Common Application, Waivers, and Alternative Requirements for Community Development Block Grant Disaster Recovery Grantees",Notice,Housing and Urban Development Department,"This notice allocates $299 million in Community Development Block Grant disaster recovery (CDBG-DR) funds appropriated by the Transportation, Housing and Urban Development, and Related Agencies Appropriations Act of 2016 for the purpose of assisting long-term recovery in South Carolina and Texas. This notice describes applicable waivers and alternative requirements, relevant statutory provisions for grants provided under this notice, the grant award process, criteria for plan approval, and eligible disaster recovery activities. The waivers, alternative requirements, and other provisions of this notice reflect the Department's commitment to expediting recovery, increasing the resilience of impacted communities and ensuring transparency in the use of Federal disaster recovery funds.",81 FR 39687, 2016-14110,https://www.federalregister.gov/documents/2016/06/17/2016-14110/allocations-common-application-waivers-and-alternative-requirements-for-community-development-block,https://www.govinfo.gov/content/pkg/FR-2016-06-17/pdf/2016-14110.pdf,06/17/2016
Notice of National Disaster Resilience Competition Grant Requirements,Notice,Housing and Urban Development Department,"This notice lists the awardees of Phase 2 of the National Disaster Resilience Competition (NDRC). The NDRC was conducted in accordance with Notice of Funding Availability (NOFA) FR-5800-N-29A2, published on grants.gov (Primary CFDA Number 14.272, last modified June 25, 2015). Awardees have been allocated $999,108,000 made available pursuant to the Disaster Relief Appropriations Act, 2013, Public Law 113-2 (Appropriations Act). This notice also updates and republishes Appendix A to the NOFA, which states the requirements applicable to NDRC grant recipients, including applicable waivers and alternative requirements. HUD is publishing the post-award requirements of Appendix A in the Federal Register because the Appropriations Act requires HUD to publish waivers and alternative requirements in the Federal Register no later than 5 days before their effective date. The requirements of Appendix A will also be incorporated into the grant agreement between the Grantees and HUD. The updates to Appendix A included in this notice reflect necessary revisions to citations and requirements that have changed since the NOFA's publication, as a result of the Department's implementation of the Office of Management and Budget's (OMB) final guidance, Uniform Administrative Requirements, Cost Principles, and Audit Requirements for Federal Awards, through amendments to 24 CFR parts 84, 85, and 570.",81 FR 36557, 2016-13430,https://www.federalregister.gov/documents/2016/06/07/2016-13430/notice-of-national-disaster-resilience-competition-grant-requirements,https://www.govinfo.gov/content/pkg/FR-2016-06-07/pdf/2016-13430.pdf,06/07/2016
HOME Investment Partnerships Program: Program Updates and Streamlining,Rule,Housing and Urban Development Department,"HUD's HOME Investment Partnerships Program (HOME program or HOME) provides formula grants to States and units of general local government to fund a wide range of activities to produce and maintain affordable rental and homeownership housing and provides tenant-based rental assistance for low-income and very low-income households. This final rule revises the current HOME regulations to update, simplify, or streamline requirements, better align the program with other Federal housing programs, and implement recent amendments to the HOME statute. This final rule also includes minor revisions to the regulations for the Community Development Block Grant and Section 8 Housing Choice Voucher Programs consistent with the implementation of the changes to the HOME program. This final rule follows the publication of a proposed rule on May 29, 2024, and takes into consideration the comments received in response to that proposed rule.",90 FR 746, 2024-29824,https://www.federalregister.gov/documents/2025/01/06/2024-29824/home-investment-partnerships-program-program-updates-and-streamlining,https://www.govinfo.gov/content/pkg/FR-2025-01-06/pdf/2024-29824.pdf,01/06/2025
HUD's Implementation of the Fair Housing Act's Disparate Impact Standard,Rule,Housing and Urban Development Department,"HUD has long interpreted the Fair Housing Act (""the Act"") to create liability for practices with an unjustified discriminatory effect, even if those practices were not motivated by discriminatory intent. This rule amends HUD's 2013 disparate impact standard regulation to better reflect the Supreme Court's 2015 ruling in Texas Department of Housing and Community Affairs v. Inclusive Communities Project, Inc. and to provide clarification regarding the application of the standard to State laws governing the business of insurance. This rule revises the burden-shifting test for determining whether a given practice has an unjustified discriminatory effect and adds to illustrations of discriminatory housing practices found in HUD's Fair Housing Act regulations. This Final rule also establishes a uniform standard for determining when a housing policy or practice with a discriminatory effect violates the Fair Housing Act and provides greater clarity of the law for individuals, litigants, regulators, and industry professionals.",85 FR 60288, 2020-19887,https://www.federalregister.gov/documents/2020/09/24/2020-19887/huds-implementation-of-the-fair-housing-acts-disparate-impact-standard,https://www.govinfo.gov/content/pkg/FR-2020-09-24/pdf/2020-19887.pdf,09/24/2020
"Allocations, Common Application, Waivers, and Alternative Requirements for 2017 Disaster Community Development Block Grant Disaster Recovery Grantees",Notice,Housing and Urban Development Department,"This notice allocates $7.39 billion in Community Development Block Grant disaster recovery (CDBG-DR) funds appropriated by the Supplemental Appropriations for Disaster Relief Requirements, 2017, for the purpose of assisting in long-term recovery from 2017 disasters. This notice describes applicable waivers and alternative requirements, relevant statutory provisions for grants provided under this notice, the grant award process, criteria for action plan approval, and eligible disaster recovery activities. Given the extent of damage to housing in the eligible disaster areas and the very limited data at present regarding unmet infrastructure and economic revitalization needs, this notice requires each grantee to primarily consider and address its unmet housing recovery needs.",83 FR 5844, 2018-02693,https://www.federalregister.gov/documents/2018/02/09/2018-02693/allocations-common-application-waivers-and-alternative-requirements-for-2017-disaster-community,https://www.govinfo.gov/content/pkg/FR-2018-02-09/pdf/2018-02693.pdf,02/09/2018
"Allocations, Common Application, Waivers, and Alternative Requirements for Community Development Block Grant Mitigation Grantees",Notice,Housing and Urban Development Department,"This notice allocates $6.875 billion in Community Development Block Grant Mitigation (CDBG-MIT) funds to grantees recovering from qualifying 2015, 2016, and 2017 disasters. Funds allocated by this notice were made available by the Further Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2018 (approved February 9, 2018) (the ""Appropriations Act""). This notice describes grant requirements and procedures, including waivers and alternative requirements, applicable to CDBG-MIT funds only. The Department acknowledges the governance and financial management challenges of the Commonwealth of Puerto Rico and the on-going capacity considerations in the U.S. Virgin Islands. Accordingly, the allocation of funds to the Commonwealth of Puerto Rico and the U.S. Virgin Islands for mitigation and electrical power system improvements shall be governed by subsequent notices in order to provide additional time to Puerto Rico and the U.S. Virgin Islands to work with the Department to address these issues.",84 FR 45838, 2019-18607,https://www.federalregister.gov/documents/2019/08/30/2019-18607/allocations-common-application-waivers-and-alternative-requirements-for-community-development-block,https://www.govinfo.gov/content/pkg/FR-2019-08-30/pdf/2019-18607.pdf,08/30/2019
"Allocations, Common Application, Waivers, and Alternative Requirements for Community Development Block Grant Disaster Recovery Grantees",Notice,Housing and Urban Development Department,"This notice allocates $500 million in Community Development Block Grant disaster recovery (CDBG-DR) funds appropriated by the Continuing Appropriations Act, 2017 for the purpose of assisting long- term recovery in Louisiana, Texas and West Virginia. This notice describes applicable waivers and alternative requirements, relevant statutory provisions for grants provided under this notice, the grant award process, criteria for plan approval, and eligible disaster recovery activities. Given the extent of damage to housing in the largest eligible disaster and the very limited data at present on unmet infrastructure and economic revitalization needs, this notice requires each grantee to primarily consider and address its unmet housing recovery needs.",81 FR 83254, 2016-27969,https://www.federalregister.gov/documents/2016/11/21/2016-27969/allocations-common-application-waivers-and-alternative-requirements-for-community-development-block,https://www.govinfo.gov/content/pkg/FR-2016-11-21/pdf/2016-27969.pdf,11/21/2016
"Allocations, Common Application, Waivers, and Alternative Requirements for Community Development Block Grant Disaster Recovery Grantees; Electrical Power Systems in Puerto Rico and the U.S. Virgin Islands",Notice,Housing and Urban Development Department,"On April 10, 2018, HUD allocated nearly $28 billion in Community Development Block Grant disaster recovery (CDBG-DR) funds appropriated by the Further Additional Supplemental Appropriations for Disaster Relief Requirements Act, 2018. HUD allocated $10.03 billion for the purpose of addressing unmet needs from disasters that occurred in 2017; $2 billion for enhanced or improved electrical power systems in Puerto Rico and the U.S. Virgin Islands; and $15.9 billion for mitigation activities. This notice governs the use of the $2 billion CDBG-DR allocation for enhanced or improved electrical power systems in Puerto Rico and the U.S. Virgin Islands.",86 FR 32681, 2021-12934,https://www.federalregister.gov/documents/2021/06/22/2021-12934/allocations-common-application-waivers-and-alternative-requirements-for-community-development-block,https://www.govinfo.gov/content/pkg/FR-2021-06-22/pdf/2021-12934.pdf,06/22/2021
"60-Day Notice of Proposed Information Collection: Disaster Recovery Grant Reporting System (DRGR), OMB Control No.: 2506-0165",Notice,Housing and Urban Development Department,"HUD is seeking approval from the Office of Management and Budget (OMB) for the information collection described below. In accordance with the Paperwork Reduction Act, HUD is requesting comment from all interested parties on the proposed collection of information. The purpose of this notice is to allow for 60 days of public comment.",89 FR 68636, 2024-19171,https://www.federalregister.gov/documents/2024/08/27/2024-19171/60-day-notice-of-proposed-information-collection-disaster-recovery-grant-reporting-system-drgr-omb,https://www.govinfo.gov/content/pkg/FR-2024-08-27/pdf/2024-19171.pdf,08/27/2024
Revision of Investing Lenders and Investing Mortgagees Requirements and Expansion of Government-Sponsored Enterprises Definition,Rule,Housing and Urban Development Department,"This rule amends the requirements for investing lenders and investing mortgagees to gain or maintain their status as a Federal Housing Administration (FHA) approved lender or mortgagee. This revision makes FHA's approval requirements consistent with investing mortgagees' and investing lenders' risk, reduces barriers to FHA approval for new investing mortgagees and investing lenders, and increases access to capital for all FHA-approved mortgagees and lenders. HUD is clarifying that the general annual certification requirement for lenders and mortgagees is applicable to investing lenders and investing mortgagees. HUD is also defining Government- Sponsored Enterprises (GSEs) separately from other governmental-type entities to ensure that FHA requirements specific to loan origination do not apply to GSEs. Finally, HUD is eliminating obsolete language related to lender and mortgagee net worth requirements. This final rule adopts HUD's July 18, 2023, proposed rule with minor revisions.",89 FR 30272, 2024-08648,https://www.federalregister.gov/documents/2024/04/23/2024-08648/revision-of-investing-lenders-and-investing-mortgagees-requirements-and-expansion-of,https://www.govinfo.gov/content/pkg/FR-2024-04-23/pdf/2024-08648.pdf,04/23/2024
Announcement of Funding Awards,Notice,Housing and Urban Development Department,"In accordance with section 102(a)(4)(C) of the Department of Housing and Urban Development Reform Act of 1989, this announcement notifies the public of funding decisions the Department of Housing and Urban Development (The Department or HUD) has made in competitions for funding under Notices of Funding Availability (NOFAs) for the following programs: FY2016 Community Development Block Grant Program for Indian Tribes and Alaska Native Villages; FY2016 Research and Evaluation, Demonstration and Data Analysis and Utilization; FY2017 Community Compass Technical Assistance and Capacity Building Program; FY2014- FY2016 Community Compass Technical Assistance and Capacity Building Program Award Amendments; FY2017 Community Development Block Grant Program for Indian Tribes and Alaska Native Villages; FY2017 Continuum of Care (CoC) Program; and FY2017 Choice Neighborhoods Planning Grants.",83 FR 23046, 2018-10465,https://www.federalregister.gov/documents/2018/05/17/2018-10465/announcement-of-funding-awards,https://www.govinfo.gov/content/pkg/FR-2018-05-17/pdf/2018-10465.pdf,05/17/2018
